Carry (yds),Total (yds),Carry Side
98,102.2,12'L
94.7,102.1,"23'10""L"
97.1,101.2,"6'2""R"
100.6,104.6,9'R
96.6,106.2,"10'2""R"
95.1,98.8,"15'6""R"
102.6,106.9,"2'4""L"
96.3,100.6,1'L
103.7,107.9,"12'5""L"
96.2,100.3,"1'9""R"
88.9,94,"3'9""L"
91.8,96.9,"6'1""L"
97.2,102.3,"11'1""R"
92.9,96.7,16'R
94.1,99.1,"5'2""R"
94.5,99.5,"7'3""L"
100.8,104.9,"17'11""L"
98.3,102.9,8'R
92.9,97.5,"8'7""R"
101.2,105.5,"8'3""L"
100.4,104.1,"1'6""R"
92,96,"7'8""R"
92.5,97.4,"7'8""L"
99.4,103.5,"6'5""R"
94.2,98.4,"17'4""R"
100.2,104.6,10'L
91.7,95.9,"10'9""R"
99.9,103.6,9'R
97.5,102.5,9'R
90.9,97.2,"16'3""L"
98.1,102,"10'4""R"
88.5,93.8,4'R
94.2,98.1,9'R
96.5,100.9,"5'9""R"
94.9,98.8,"4'8""R"
101,105,"1'4""L"
99.8,101.1,1.0
99.7,101.7,13.0
102.8,104,12.0
98.2,99.8,13.0
103.1,104.7,1.0
96,99,10.0
107.2,109,14.0
99.7,101.3,6.0
100.6,102.2,4.0
97.5,100.4,1.0
100.8,103.2,8.0
87.1,90.4,1.0
97.1,98.4,2.0
94.5,97.2,6.0
95.3,97.8,8.0
104.6,106.8,9.0
96.2,98.5,1.0
99.2,100.8,16.0
98.7,100.3,3.0
99.4,101.9,2.0
97.5,100.4,1.0
100.8,103.2,8.0
87.1,90.4,1.0
97.1,98.4,2.0
94.5,97.2,6.0
95.3,97.8,8.0
104.6,106.8,9.0
96.2,98.5,1.0
99.2,100.8,16.0
98.7,100.3,3.0
99.4,101.9,2.0
97.5,100.4,1.0
100.8,103.2,8.0